@relation Training1

@attribute snake_x numeric
@attribute snake_y numeric
@attribute food_x numeric
@attribute food_y numeric
@attribute length numeric
@attribute delta_x numeric
@attribute delta_y numeric
@attribute distance_to_fruit numeric
@attribute isSafeUp {True,False}
@attribute isSafeDown {True,False}
@attribute isSafeLeft {True,False}
@attribute isSafeRight {True,False}
@attribute direction {0,1,2,3}

@data
390,400,300,400,5,-90,0,90.0,True,True,True,False,2
380,400,300,400,5,-80,0,80.0,True,True,True,False,2
370,400,300,400,5,-70,0,70.0,True,True,True,False,2
360,400,300,400,5,-60,0,60.0,True,True,True,False,2
350,400,300,400,5,-50,0,50.0,True,True,True,False,2
340,400,300,400,5,-40,0,40.0,True,True,True,False,2
330,400,300,400,5,-30,0,30.0,True,True,True,False,2
320,400,300,400,5,-20,0,20.0,True,True,True,False,2
310,400,300,400,5,-10,0,10.0,True,True,True,False,2
300,400,40,120,6,-260,-280,382.099463490856,True,True,True,False,2
300,390,40,120,6,-260,-270,374.83329627982624,True,False,True,True,0
300,380,40,120,6,-260,-260,367.6955262170047,True,False,True,True,0
300,370,40,120,6,-260,-250,360.69377593742865,True,False,True,True,0
300,360,40,120,6,-260,-240,353.83612025908263,True,False,True,True,0
300,350,40,120,6,-260,-230,347.1310991541956,True,False,True,True,0
300,340,40,120,6,-260,-220,340.58772731852804,True,False,True,True,0
300,330,40,120,6,-260,-210,334.21549934136806,True,False,True,True,0
300,320,40,120,6,-260,-200,328.0243893371345,True,False,True,True,0
300,310,40,120,6,-260,-190,322.02484376209236,True,False,True,True,0
300,300,40,120,6,-260,-180,316.22776601683796,True,False,True,True,0
300,290,40,120,6,-260,-170,310.64449134018133,True,False,True,True,0
300,280,40,120,6,-260,-160,305.28675044947494,True,False,True,True,0
300,270,40,120,6,-260,-150,300.1666203960727,True,False,True,True,0
300,260,40,120,6,-260,-140,295.296461204668,True,False,True,True,0
300,250,40,120,6,-260,-130,290.68883707497264,True,False,True,True,0
300,240,40,120,6,-260,-120,286.35642126552705,True,False,True,True,0
300,230,40,120,6,-260,-110,282.3118842698621,True,False,True,True,0
300,220,40,120,6,-260,-100,278.5677655436824,True,False,True,True,0
300,210,40,120,6,-260,-90,275.13632984395207,True,False,True,True,0
300,200,40,120,6,-260,-80,272.02941017470886,True,False,True,True,0
300,190,40,120,6,-260,-70,269.2582403567252,True,False,True,True,0
300,180,40,120,6,-260,-60,266.8332812825267,True,False,True,True,0
300,170,40,120,6,-260,-50,264.76404589747455,True,False,True,True,0
300,160,40,120,6,-260,-40,263.0589287593181,True,False,True,True,0
300,150,40,120,6,-260,-30,261.72504656604804,True,False,True,True,0
300,140,40,120,6,-260,-20,260.76809620810593,True,False,True,True,0
300,130,40,120,6,-260,-10,260.1922366251537,True,False,True,True,0
300,120,40,120,6,-260,0,260.0,True,False,True,True,0
290,120,40,120,6,-250,0,250.0,True,True,True,False,2
280,120,40,120,6,-240,0,240.0,True,True,True,False,2
270,120,40,120,6,-230,0,230.0,True,True,True,False,2
260,120,40,120,6,-220,0,220.0,True,True,True,False,2
250,120,40,120,6,-210,0,210.0,True,True,True,False,2
240,120,40,120,6,-200,0,200.0,True,True,True,False,2
230,120,40,120,6,-190,0,190.0,True,True,True,False,2
220,120,40,120,6,-180,0,180.0,True,True,True,False,2
210,120,40,120,6,-170,0,170.0,True,True,True,False,2
200,120,40,120,6,-160,0,160.0,True,True,True,False,2
190,120,40,120,6,-150,0,150.0,True,True,True,False,2
180,120,40,120,6,-140,0,140.0,True,True,True,False,2
170,120,40,120,6,-130,0,130.0,True,True,True,False,2
160,120,40,120,6,-120,0,120.0,True,True,True,False,2
150,120,40,120,6,-110,0,110.0,True,True,True,False,2
140,120,40,120,6,-100,0,100.0,True,True,True,False,2
130,120,40,120,6,-90,0,90.0,True,True,True,False,2
120,120,40,120,6,-80,0,80.0,True,True,True,False,2
110,120,40,120,6,-70,0,70.0,True,True,True,False,2
100,120,40,120,6,-60,0,60.0,True,True,True,False,2
90,120,40,120,6,-50,0,50.0,True,True,True,False,2
80,120,40,120,6,-40,0,40.0,True,True,True,False,2
70,120,40,120,6,-30,0,30.0,True,True,True,False,2
60,120,40,120,6,-20,0,20.0,True,True,True,False,2
50,120,40,120,6,-10,0,10.0,True,True,True,False,2
40,120,230,460,7,190,340,389.48684188300894,True,True,True,False,2
40,130,230,460,7,190,330,380.7886552931954,False,True,True,True,1
40,140,230,460,7,190,320,372.1558813185679,False,True,True,True,1
40,150,230,460,7,190,310,363.59317925395686,False,True,True,True,1
40,160,230,460,7,190,300,355.10561809129405,False,True,True,True,1
40,170,230,460,7,190,290,346.69871646719434,False,True,True,True,1
40,180,230,460,7,190,280,338.3784863137726,False,True,True,True,1
40,190,230,460,7,190,270,330.15148038438355,False,True,True,True,1
40,200,230,460,7,190,260,322.02484376209236,False,True,True,True,1
40,210,230,460,7,190,250,314.00636936215164,False,True,True,True,1
40,220,230,460,7,190,240,306.10455730027934,False,True,True,True,1
40,230,230,460,7,190,230,298.328677803526,False,True,True,True,1
40,240,230,460,7,190,220,290.68883707497264,False,True,True,True,1
40,250,230,460,7,190,210,283.1960451701259,False,True,True,True,1
40,260,230,460,7,190,200,275.86228448267445,False,True,True,True,1
40,270,230,460,7,190,190,268.70057685088807,False,True,True,True,1
40,280,230,460,7,190,180,261.72504656604804,False,True,True,True,1
40,290,230,460,7,190,170,254.95097567963924,False,True,True,True,1
40,300,230,460,7,190,160,248.39484696748443,False,True,True,True,1
40,310,230,460,7,190,150,242.0743687382041,False,True,True,True,1
40,320,230,460,7,190,140,236.00847442411893,False,True,True,True,1
40,330,230,460,7,190,130,230.21728866442677,False,True,True,True,1
40,340,230,460,7,190,120,224.72205054244233,False,True,True,True,1
40,350,230,460,7,190,110,219.5449840010015,False,True,True,True,1
40,360,230,460,7,190,100,214.7091055358389,False,True,True,True,1
